SKU_ID,Product_Name,Department,Category,Subcategory,Brand,Vendor_ID,Product_Cost,Original_Retail_Price,Current_Retail_Price,Margin_Percentage,Launch_Date,Season,Product_Status,Style,Colour,Size,Material,Price_Band,Demand_Index,Inventory_Bias
DEC0063,Marlow Marble Atelier,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V005,46.75,104.75,73.32,0.5537,2023-12-21,Core,Exit,Classic,Sand,Large,Oak,Best,1.0728,1.36
DEC0064,Avery Brass Atelier,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V012,47.08,104.45,104.45,0.5493,2024-12-20,Core,Active,Artisan,Sage,Medium,Rattan,Best,1.0175,1.36
DEC0065,Marlow Wool Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V019,30.03,55.5,55.5,0.4589,2023-06-19,Core,Active,Modern,Terracotta,One Size,Stone,Better,0.7852,1.36
DEC0066,Aster Wool Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V007,25.34,56.0,56.0,0.5475,2024-04-24,Core,Active,Modern,Terracotta,One Size,Stone,Better,1.152,1.36
DEC0067,Arc Oak Series,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V012,12.65,27.43,27.43,0.5388,2023-12-20,Core,Active,Artisan,Espresso,Medium,Glass,Good,1.542,1.36
DEC0068,Arc Stone House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V017,33.26,84.9,84.9,0.6083,2024-02-17,Core,Active,Organic,Slate,Large,Glass,Best,0.9466,1.36
DEC0069,Noir Marble Vessel,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V005,58.37,118.87,118.87,0.5089,2023-07-07,Core,Seasonal,Minimal,Ivory,Medium,Marble,Best,1.1075,1.36
DEC0070,Cove Oak Collection,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V013,43.3,92.8,92.8,0.5334,2024-09-04,Core,Active,Organic,Sage,Small,Brass,Best,0.7903,1.36
DEC0071,Luna Rattan Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V018,29.86,72.37,72.37,0.5874,2024-04-08,Core,Active,Classic,Sand,Small,Brass,Best,0.7128,1.36
DEC0072,Avery Linen Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V005,14.83,29.8,29.8,0.5023,2023-06-05,Core,Active,Minimal,Ivory,Large,Rattan,Good,0.7517,1.36
DEC0073,Avery Glass Form,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V013,36.01,81.23,81.23,0.5567,2023-09-01,Core,Active,Classic,Charcoal,Medium,Glass,Best,1.5889,1.36
DEC0074,Mira Stone Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V003,13.95,28.56,28.56,0.5114,2024-04-15,Core,Active,Minimal,Natural,Large,Linen,Good,0.6614,1.36
DEC0075,Marlow Oak Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V007,27.32,58.0,58.0,0.529,2024-08-19,Core,Active,Classic,Terracotta,Large,Rattan,Better,0.7928,1.36
DEC0076,Sable Glass Edit,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V016,47.81,116.68,116.68,0.5903,2024-01-01,Core,Active,Minimal,Charcoal,Small,Brass,Best,1.2564,1.36
DEC0077,Harbour Wool Collection,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V002,37.13,86.66,86.66,0.5715,2024-05-21,Core,Active,Modern,Slate,Small,Cotton,Best,0.652,1.36
DEC0078,Noir Wool Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V009,28.49,61.2,61.2,0.5344,2023-06-29,Core,Active,Modern,Espresso,One Size,Rattan,Better,0.8119,1.36
DEC0079,Avery Cotton Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V016,23.27,52.96,52.96,0.5607,2023-07-09,Core,Active,Minimal,Sage,Small,Ceramic,Better,0.7374,1.36
DEC0080,Aster Brass Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V005,35.02,83.03,83.03,0.5783,2024-03-02,Core,Active,Modern,Sand,Large,Linen,Best,0.8629,1.36
DEC0081,Noir Rattan Form,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V011,18.47,42.9,42.9,0.5694,2024-05-06,Core,Active,Organic,Sand,Medium,Rattan,Better,0.9072,1.36
DEC0082,Luna Ceramic Edit,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V015,51.79,118.54,118.54,0.5631,2024-12-15,Core,Active,Minimal,Terracotta,One Size,Stone,Best,0.7347,1.36
DEC0083,Vale Glass Vessel,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V002,26.64,55.06,55.06,0.5161,2024-09-05,Core,Active,Classic,Oat,One Size,Marble,Better,0.7873,1.36
DEC0084,Harbour Marble House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V009,49.81,96.45,96.45,0.4836,2023-08-13,Core,Active,Minimal,Ivory,Small,Glass,Best,0.6198,1.36
DEC0085,Noir Brass Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V020,27.79,49.81,49.81,0.4421,2024-07-20,Core,Active,Minimal,Oat,Large,Wool,Better,0.7463,1.36
DEC0086,Noir Oak Series,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V004,50.99,114.76,114.76,0.5557,2024-05-23,Core,Active,Modern,Oat,Medium,Brass,Best,0.5486,1.36
DEC0087,Harbour Stone Vessel,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V012,56.59,120.82,120.82,0.5316,2024-04-07,Core,Active,Organic,Sage,One Size,Glass,Best,0.4532,1.36
DEC0088,Sable Wool Object,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V018,28.3,60.36,60.36,0.5312,2024-04-08,Core,Active,Artisan,Terracotta,Large,Cotton,Better,2.0723,1.36
DEC0089,Luna Brass Vessel,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V008,24.05,50.68,50.68,0.5255,2024-07-26,Core,Active,Organic,Sage,Small,Stone,Better,0.5771,1.36
DEC0090,Sable Cotton Form,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V014,54.69,112.47,112.47,0.5137,2023-07-08,Core,Active,Artisan,Champagne,One Size,Ceramic,Best,1.3439,1.36
DEC0091,Vale Wool Atelier,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V002,44.72,110.67,77.47,0.5959,2024-02-18,Core,Exit,Artisan,Sage,Medium,Ceramic,Best,0.414,1.36
DEC0092,Sable Marble Collection,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V007,52.78,109.11,109.11,0.5163,2024-01-13,Core,Active,Minimal,Sand,One Size,Oak,Best,0.6291,1.36
DEC0093,Luna Wool House,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V012,22.3,47.67,47.67,0.5322,2024-11-20,Core,Active,Minimal,Charcoal,One Size,Marble,Better,0.5115,1.36
DEC0094,Noir Rattan Studio,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V020,41.59,117.32,117.32,0.6455,2023-12-09,Core,Active,Artisan,Ivory,Small,Stone,Best,0.6233,1.36
DEC0095,Luna Marble Collection,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V009,15.07,29.23,29.23,0.4844,2024-06-03,Core,Active,Minimal,Champagne,Large,Stone,Good,0.5303,1.36
DEC0096,Arc Cotton House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V015,17.32,39.06,39.06,0.5567,2024-02-12,Core,Active,Artisan,Ivory,Large,Glass,Good,0.781,1.36
DEC0097,Sable Linen Line,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V003,51.94,105.38,105.38,0.5071,2024-01-26,Core,Active,Minimal,Oat,Small,Rattan,Best,0.7838,1.36
DEC0098,Arc Cotton Object,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V011,13.17,24.85,24.85,0.47,2023-08-03,Core,Active,Minimal,Oat,Medium,Marble,Good,0.5613,1.36
DEC0099,Arc Linen Vessel,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V018,54.36,109.98,109.98,0.5057,2023-09-01,Core,Active,Organic,Charcoal,Large,Glass,Best,0.9191,1.36
DEC0100,Luna Ceramic Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V005,54.53,110.15,110.15,0.505,2024-04-18,Core,Active,Artisan,Natural,Medium,Wool,Best,0.6514,1.36
DEC0101,Aster Linen Line,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V008,33.05,85.85,85.85,0.615,2024-03-12,Core,Active,Classic,Oat,Large,Glass,Best,0.4115,1.36
DEC0102,Vale Stone Object,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V019,44.75,99.6,99.6,0.5507,2023-12-21,Core,Active,Minimal,Slate,Large,Glass,Best,1.7818,1.36
DEC0103,Cove Wool Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V003,20.64,50.82,50.82,0.5939,2024-08-01,Core,Seasonal,Minimal,Espresso,One Size,Stone,Better,0.8685,1.36
DEC0104,Sable Oak House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V012,30.61,75.4,75.4,0.594,2023-08-09,Core,Active,Classic,Ivory,Medium,Brass,Best,1.2943,1.36
DEC0105,Marlow Oak Object,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V017,37.48,83.01,83.01,0.5484,2024-03-19,Core,Active,Artisan,Slate,Medium,Brass,Best,1.4168,1.36
DEC0106,Mira Ceramic Line,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V004,17.51,38.76,38.76,0.5483,2024-07-20,Core,Active,Classic,Natural,Medium,Linen,Good,2.356,1.36
DEC0107,Luna Cotton Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V014,14.12,29.26,29.26,0.5176,2024-02-24,Core,Active,Artisan,Natural,One Size,Glass,Good,0.5171,1.36
DEC0108,Mira Ceramic Form,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V020,14.93,35.56,35.56,0.5801,2024-01-27,Core,Active,Modern,Terracotta,One Size,Cotton,Good,0.606,1.36
DEC0109,Avery Rattan House,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V008,40.84,85.22,85.22,0.5207,2024-04-28,Core,Active,Modern,Oat,Small,Ceramic,Best,0.7762,1.36
DEC0110,Arc Rattan House,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V011,31.15,62.34,62.34,0.5003,2023-09-19,Core,Active,Organic,Charcoal,Small,Ceramic,Better,0.842,1.36
DEC0111,Cove Glass Vessel,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V018,42.06,82.11,82.11,0.4878,2024-07-03,Core,Active,Classic,Oat,One Size,Glass,Best,1.4129,1.36
DEC0112,Ridge Oak Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V009,13.34,31.83,31.83,0.5808,2024-08-22,Core,Seasonal,Classic,Slate,Large,Wool,Good,1.6076,1.36
DEC0113,Luna Stone Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V013,25.73,68.91,68.91,0.6267,2024-08-01,Core,Seasonal,Organic,Natural,Medium,Ceramic,Better,1.0545,1.36
DEC0114,Cove Brass Series,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V002,15.53,34.17,34.17,0.5454,2024-11-21,Core,Active,Classic,Terracotta,Small,Brass,Good,0.8353,1.36
DEC0115,Harbour Rattan Line,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V008,26.45,52.68,52.68,0.4979,2024-05-20,Core,Active,Minimal,Sage,One Size,Ceramic,Better,0.4467,1.36
DEC0116,Vale Linen Object,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V016,18.47,41.39,41.39,0.5537,2024-10-10,Core,Seasonal,Artisan,Natural,Medium,Brass,Better,0.9272,1.36
DEC0117,Ridge Glass Series,Home Decor,Decorative Objects,Decorative Objects,Foundry Home,V003,11.78,27.27,27.27,0.568,2024-10-21,Core,Active,Modern,Terracotta,Large,Oak,Good,0.5316,1.36
DEC0118,Marlow Brass Studio,Home Decor,Decorative Objects,Decorative Objects,Maison Reserve,V008,45.55,95.45,95.45,0.5228,2024-01-08,Core,Seasonal,Classic,Terracotta,Small,Brass,Best,0.3581,1.36
DEC0119,Cove Glass Atelier,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V017,27.04,55.43,55.43,0.5123,2023-12-28,Core,Active,Classic,Sage,Medium,Cotton,Better,0.8846,1.36
DEC0120,Cove Linen Object,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V004,27.52,58.48,58.48,0.5294,2023-12-03,Core,Active,Artisan,Champagne,Large,Ceramic,Better,0.7011,1.36
DEC0121,Luna Stone Studio,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V009,11.17,26.14,26.14,0.5726,2024-06-13,Core,Active,Modern,Natural,Large,Wool,Good,0.723,1.36
DEC0122,Ridge Oak Studio,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V015,61.18,121.69,121.69,0.4973,2024-04-25,Core,Active,Artisan,Charcoal,Large,Wool,Best,0.3975,1.36
DEC0123,Vale Marble Collection,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V005,44.99,111.18,111.18,0.5954,2024-10-01,Core,Active,Minimal,Oat,Large,Stone,Best,0.6298,1.36
DEC0124,Aster Rattan Series,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V010,30.95,68.9,68.9,0.5509,2024-06-23,Core,Active,Organic,Terracotta,Large,Rattan,Better,1.963,1.36
DEC0125,Vale Cotton Studio,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V018,58.1,104.83,104.83,0.4458,2023-10-05,Core,Seasonal,Modern,Charcoal,Large,Oak,Best,0.8882,1.36
DEC0126,Cove Glass Form,Home Decor,Decorative Objects,Decorative Objects,Atelier Edit,V007,30.01,79.61,79.61,0.623,2024-07-18,Core,Active,Artisan,Oat,Large,Brass,Best,0.9735,1.36
DEC0127,Avery Glass Form,Home Decor,Decorative Objects,Decorative Objects,Northstar Collection,V012,23.59,48.07,48.07,0.5093,2024-02-06,Core,Active,Classic,Slate,Large,Linen,Better,0.556,1.36
